"","Var1","Freq"
"235","Filomicrobium",2
"236","Fimbriiglobus",4
"237","Fimbriimonas",1
"238","Flaviaestuariibacter",6
"239","Flavihumibacter",2
"240","Flavisolibacter",71
"241","Flavitalea",33
"242","Flavobacterium",98
"243","Fluviicola",15
"244","Fontibacillus",5
"245","Fonticella",21
"246","Fontimonas",2
"247","Frateuria",11
"248","Frigoribacterium",2
"249","Gaiella",15
"250","Galbitalea",6
"251","Geminicoccus",18
"252","Gemmata",4
"253","Gemmatimonas",75
"254","Geodermatophilus",5
"255","Geomonas",22
"256","Georgenia",4
"257","Georgfuchsia",2
"258","Geotalea",3
"259","Glutamicibacter",1
"260","Gorillibacterium",48
"261","Gracilibacter",14
"262","Gynurincola",8
"263","Haemophilus",1
"264","Hafnia-Obesumbacterium",9
"265","Haloactinopolyspora",2
"266","Haloplasma",5
"267","Hassallia",1
"268","Herbaspirillum",9
"269","Herbiconiux",1
"270","Herbidospora",1
"271","Herbinix",3
"272","Herminiimonas",12
"273","Herpetosiphon",1
"274","Heyndrickxia",3
"275","Hirschia",11
"276","HN-HF0106",13
"277","Humitalea",1
"278","Hyalangium",1
"279","Hydrogenispora",4
"280","Hydrogenoanaerobacterium",1
"281","Hydrogenophaga",24
"282","Hylemonella",1
"283","Hypericibacter",5
"284","Hyphomicrobium",24
"285","I-8",1
"286","Iamia",4
"287","Ignavibacterium",1
"288","IheB3-7",1
"289","Ilumatobacter",3
"290","Ilyomonas",1
"291","IMCC26134",2
"292","IMCC26207",5
"293","Indiicoccus",1
"294","Inquilinus",3
"295","Intrasporangium",4
"296","IS-44",31
"297","Isosphaera",1
"298","Jahnella",1
"299","Janthinobacterium",2
"300","Jatrophihabitans",2
"301","JCM 18997",5
"302","JG30a-KF-32",1
"303","Kaistia",8
"304","KD3-10",4
"305","Kineosporia",2
"306","Kineothrix",1
"307","Kluyvera",1
"308","Knoellia",3
"309","Kofleria",2
"310","Kribbella",3
"311","Labrys",6
"312","Lachnoclostridium",2
"313","Lacibacterium",3
"314","Lacisediminimonas",17
"315","Larkinella",2
"316","Lautropia",29
"317","LD29",40
"318","Legionella",58
"319","Leifsonia",4
"320","Lelliottia",6
"321","Lentimicrobium",3
"322","Lentzea",3
"323","Leptothrix",4
"324","Limnobacter",4
"325","Limnohabitans",1
"326","Litchfieldia",1
"327","Litorilinea",1
"328","Longimicrobium",19
"329","Lonsdalea",1
"330","Luedemannella",1
"331","Luteibacter",4
"332","Luteimonas",13
"333","Luteitalea",54
"334","Luteolibacter",36
"335","Lutispora",12
"336","Lysinibacillus",8
"337","Lysinibacter",1
"338","Lysobacter",63
"339","Magnetospirillum",12
"340","Mangrovicella",3
"341","Mangrovihabitans",2
"342","Margalitia",1
"343","Marinicrinis",20
"344","Marisediminicola",2
"345","Marmoricola",8
"346","Massilia",113
"347","Melittangium",1
"348","Mesobacillus",7
"349","Mesorhizobium",11
"350","Metabacillus",1
"351","Metasolibacillus",2
"352","Methanobacterium",1
"353","Methanocella",1
"354","Methanomassiliicoccus",3
"355","Methanosarcina",5
"356","Methylibium",8
"357","Methylobacter",10
"358","Methylobacterium",3
"359","Methylocaldum",1
"360","Methylocella",2
"361","Methylomicrobium",1
"362","Methylophilus",3
"363","Methylorosula",5
"364","Methylorubrum",4
"365","Methylotenera",9
"366","Methylovorus",2
"367","Microbacterium",9
"368","Microbispora",2
"369","Microcella",1
"370","Microlunatus",2
"371","Micromonospora",12
"372","Micropepsis",2
"373","Microvirga",43
"374","Minicystis",1
"375","mle1-7",15
"376","MM2",13
"377","MND1",19
"378","Mobilitalea",12
"379","Modestobacter",3
"380","Moheibacter",2
"381","Monoglobus",6
"382","Mucilaginibacter",26
"383","Muricomes",1
"384","Mycobacterium",85
"385","Mycoplana",5
"386","Myxococcus",10
"387","Nakamurella",6
"388","Nannocystis",1
"389","Nemorincola",2
"390","Neo-b11",4
"391","Neobacillus",38
"392","Neochlamydia",2
"393","Neorhizobium",8
"394","Niabella",9
"395","Niallia",23
"396","Niastella",16
"397","Nissabacter",1
"398","Nitratireductor",1
"399","Nitrobacter",7
"400","Nitrolancea",4
"401","Nitrosomonas",3
"402","Nitrosospira",32
"403","Nitrospira",16
"404","Niveitalea",22
"405","NK4A214 group",6
"406","Nocardia",2
"407","Nocardioides",108
"408","Nodularia PCC-9350",1
"409","Nonomuraea",2
"410","Nordella",7
"411","Nostoc PCC-73102",10
"412","Nostoc PCC-7524",2
"413","Noviherbaspirillum",98
"414","Novosphingobium",12
"415","Novosphingopyxis",8
"416","Nubsella",9
"417","Oerskovia",1
"418","Ohtaekwangia",34
"419","OLB12",2
"420","OLB13",2
"421","OLB17",1
"422","Oleiharenicola",23
"423","Oligoflexus",48
"424","OM27 clade",18
"425","Opitutus",112
"426","Ornithinibacter",2
"427","Orrella",2
"428","Oryzihumus",1
"429","Oryzobacter",2
"430","Ottowia",1
"431","Oxalicibacterium",15
"432","Oxalobacter",3
"433","Oxalophagus",11
"434","Oxobacter",19
"435","P3OB-42",5
"436","P3OB-51",1
"437","Paenarthrobacter",2
"438","Paenibacillus",1588
"439","Paenisporosarcina",1
"440","Pajaroellobacter",17
"441","Paludirhabdus",5
"442","Paludisphaera",5
"443","Panacagrimonas",5
"444","Panacibacter",2
"445","Pandoraea",2
"446","Pantoea",6
"447","Papillibacter",7
"448","Paraclostridium",1
"449","Paracoccus",3
"450","Paraconexibacter",4
"451","Paradesulfitobacterium",3
"452","Parafilimonas",3
"453","Paraflavitalea",6
"454","Paraherbaspirillum",3
"455","Paralcaligenes",1
"456","Parapedobacter",2
"457","Pararcticibacter",10
"458","Pararhizobium",6
"459","Parasegetibacter",13
"460","Parvibaculum",3
"461","Parviterribacter",22
"462","Patulibacter",6
"463","Paucibacter",3
"464","Pedobacter",92
"465","Pedococcus-Phycicoccus",5
"466","Pedomicrobium",10
"467","Pedosphaera",5
"468","Pelosinus",15
"469","Pelotalea",6
"470","Peredibacter",8
"471","Peribacillus",8
"472","Persicitalea",2
"473","Phaeodactylibacter",1
"474","Phaselicystis",16
"475","Phenylobacterium",28
"476","Phormidesmis ANT.L52.6",1
"477","Phormidium CYN64",2
"478","Pigmentiphaga",7
"479","Pir4 lineage",11
"480","Pirellula",29
"481","Piscinibacter",12
"482","Planctomicrobium",2
"483","Planctopirus",1
"484","Planosporangium",4
"485","Pleomorphomonas",3
"486","Plot4-2H12",2
"487","Polaromonas",3
"488","Pontibacter",4
"489","possible genus 04",7
"490","Povalibacter",3
"491","Priestia",8
"492","Procabacter",1
"493","Promicromonospora",1
"494","Propionicicella",3
"495","Providencia",2
"496","Pseudactinotalea",2
"497","Pseudaminobacter",12
"498","Pseudarthrobacter",3
"499","Pseudobacter",5
"500","Pseudochrobactrum",1
"501","Pseudocitrobacter",3
"502","Pseudoduganella",5
"503","Pseudoflavitalea",7
"504","Pseudolabrys",22
"505","Pseudomonas",81
"506","Pseudonocardia",12
"507","Pseudorhodoferax",11
"508","Pseudorhodoplanes",8
"509","Pseudoxanthobacter",2
"510","Pseudoxanthomonas",29
"511","Psychroglaciecola",1
"512","Puia",1
"513","Pullulanibacillus",3
"514","Pulveribacter",1
"515","Qipengyuania",1
"516","Rahnella",3
"517","Ralstonia",3
"518","Ramlibacter",76
"519","Reyranella",21
"520","Rhizobacter",17
"521","Rhizobium",23
"522","Rhizocola",1
"523","Rhizomicrobium",2
"524","Rhizorhabdus",10
"525","Rhodanobacter",17
"526","Rhodococcus",22
"527","Rhodocytophaga",14
"528","Rhodoferax",1
"529","Rhodoligotrophos",1
"530","Rhodomicrobium",3
"531","Rhodopila",1
"532","Rhodoplanes",10
"533","Rhodopseudomonas",6
"534","Rhodovastum",2
"535","Rivibacter",4
"536","Roseateles",3
"537","Roseicella",1
"538","Roseimicrobium",4
"539","Roseisolibacter",1
"540","Roseomonas",12
"541","Rossellomorea",2
"542","Rubellimicrobium",2
"543","Rubinisphaera",1
"544","Rubrivivax",1
"545","Rubrobacter",4
"546","Ruminiclostridium",152
"547","Ruminococcus",1
"548","Rummeliibacillus",2
"549","Runella",1
"550","Rurimicrobium",7
"551","s3t2d-1089",1
"552","Saccharedens",1
"553","Salinispora",1
"554","Sandaracinus",9
"555","Schinkia",14
"556","Schlesneria",1
"557","Scytonema UTEX 2349",1
"558","Sedimentibacter",26
"559","Sediminibacillus",1
"560","Sediminibacterium",1
"561","Sediminihabitans",2
"562","Segetibacter",4
"563","SH-PL14",9
"564","Shinella",10
"565","Siccirubricoccus",2
"566","Singulisphaera",9
"567","Sinirhodobacter",1
"568","Skermanella",9
"569","SM1A02",1
"570","Smaragdicoccus",1
"571","SN8",1
"572","Solibacillus",1
"573","Solirubrobacter",61
"574","Solitalea",1
"575","Sorangium",5
"576","Sphingobacterium",22
"577","Sphingobium",22
"578","Sphingomonas",50
"579","Sphingopyxis",6
"580","Sphingosinicella",2
"581","Sphingosinithalassobacter",14
"582","Sporacetigenium",1
"583","Sporichthya",1
"584","Sporobacter",18
"585","Sporocytophaga",8
"586","Sporomusa",14
"587","Sporosarcina",2
"588","Staphylococcus",1
"589","Starkeya",2
"590","Stella",5
"591","Stenotrophomonas",31
"592","Steroidobacter",80
"593","Streptococcus",2
"594","Streptomyces",15
"595","Streptosporangium",1
